(Intercept),-0.114,nm2140,-160.722,nm2284,-369.556,nm2436,-157.212,nm2556,107.113
nm1492,-33.036,nm2144,308.476,nm2288,364.667,nm2452,34.662,nm2588,83.166
nm1508,-41.247,nm2148,-205.012,nm2292,-288.261,nm2480,90.572,nm2600,-101.046
nm1524,59.924,nm2168,91.553,nm2296,182.079,nm2488,-110.665,nm2620,63.035
nm1532,46.614,nm2172,103.26,nm2372,43.232,nm2496,132.982,nm2644,-81.213
nm1556,48.434,nm2188,60.423,nm2392,-118.104,nm2508,-372.868,nm2652,-54.94
nm1564,-99.414,nm2204,-117.815,nm2396,147.093,nm2512,403.274,nm2668,100.931
nm1568,62.567,nm2228,69.33,nm2404,166.541,nm2516,-318.052,,
nm1580,-43.808,nm2248,91.69,nm2408,-209.319,nm2520,209.089,,
nm2128,-105.035,nm2276,-321.278,nm2424,-106.745,nm2532,51.908,,
nm2136,157.86,nm2280,328.749,nm2428,215.418,nm2544,-202.54,,
